TF,Target
CREB1,CDS1
CREB1,CDX4
CREB1,CENPE
CREB1,ADAP1
CREB1,SIDT2
CREB1,CHGB
CREB1,CHMP1B
CREB1,CHPF
CREB1,SARNP
CREB1,CLDN6
CREB1,CLDN7
CREB1,CLSTN3
CREB1,CREM
CREB1,CRH
CREB1,CXCL16
CREB1,CYLD
CREB1,DAAM2
CREB1,DCTN1
CREB1,DDX28
CREB1,DDX51
CREB1,DEPDC4
CREB1,DGUOK
CREB1,DHX36
CREB1,DIO2
CREB1,INTS7
CREB1,GPBP1
CREB1,SGIP1
CREB1,DNTTIP1
CREB1,CDK2AP2
CREB1,RCAN1
CREB1,DUSP1
CREB1,EEF2
CREB1,ELAVL1
CREB1,ELL2
CREB1,ELOVL5
CREB1,EPB41
CREB1,EPHA2
CREB1,FGF6
CREB1,MRM3
CREB1,TMEM39A
CREB1,DDX19A
CREB1,AKIRIN1
CREB1,VPS37B
CREB1,RIPOR1
CREB1,ZC3H10
CREB1,DUS2
CREB1,CTC1
CREB1,HDX
CREB1,KICS2
CREB1,RUSC1-AS1
CREB1,ZNF516-DT
CREB1,FLT1
CREB1,FOSB
CREB1,FOXD3
CREB1,G3BP2
CREB1,RALGAPA1P1
CREB1,GEM
CREB1,GLI1
CREB1,GNB4
CREB1,GNL1
CREB1,GPM6B
CREB1,GPR3
CREB1,LGR5
CREB1,GTF3C1
CREB1,HAS1
CREB1,HHIP
CREB1,H4C5
CREB1,HOXC10
CREB1,HS3ST2
CREB1,HS3ST3A1
CREB1,HSP90AB1
CREB1,ID1
CREB1,IKBKB
CREB1,ING4
CREB1,IRX4
CREB1,IRX6
CREB1,JUND
CREB1,KCNA5
CREB1,KCNF1
CREB1,KCTD8
CREB1,TSC22D2
CREB1,ADNP2
CREB1,ZNF687
CREB1,LDHA
CREB1,CNTROB
CREB1,LMCD1
CREB1,ZFAND2B
CREB1,CCDC148
CREB1,SRRM4
CREB1,ASPHD1
CREB1,C11orf87
CREB1,XPNPEP3
CREB1,IFT20
CREB1,MMGT1
CREB1,LTBP1
CREB1,MAF
CREB1,MAFF
CREB1,MAOA
CREB1,MAP1LC3A
CREB1,MAP3K13
CREB1,MAPK10
CREB1,MBIP
CREB1,MBNL2
CREB1,MCAM
CREB1,FAM131A
CREB1,ZBTB37
CREB1,PACRGL
CREB1,TMUB2
CREB1,NOC4L
CREB1,TIPRL
CREB1,CMSS1
CREB1,TUBB2B
CREB1,MITF
CREB1,MLF2
CREB1,MRGPRF
CREB1,MRRF
CREB1,MYL6
CREB1,NCALD
CREB1,NDUFA10
CREB1,NDUFB2
CREB1,NEUROD6
CREB1,NF1
CREB1,TMEM147
CREB1,NOL4
CREB1,NR2E1
CREB1,NR4A2
CREB1,NUP214
CREB1,NUP98
CREB1,NUP42
CREB1,OGDH
CREB1,CYSTM1
CREB1,ORMDL2
CREB1,OSBPL9
CREB1,OSR1
CREB1,RPRD1A
CREB1,PAFAH1B1
CREB1,PAK1
CREB1,PARD6A
CREB1,PCSK1
CREB1,PDLIM3
CREB1,PEG3
CREB1,PER1
CREB1,PFAS
CREB1,PHACTR3
CREB1,PITX2
CREB1,PKP4
CREB1,PLCD3
CREB1,PLK4
CREB1,PNMA3
CREB1,PNMA6A
CREB1,PNRC1
CREB1,PPARGC1A
CREB1,PPM1A
CREB1,PDP1
CREB1,PPP1R15A
CREB1,PPP2R2A
CREB1,PRR3
CREB1,TAOK2
CREB1,PTPRU
CREB1,PRELID1
CREB1,RAB24
CREB1,RAB25
CREB1,RAB6A
CREB1,RAD51C
CREB1,RAI1
CREB1,ZMYM2
CREB1,DNAJC27
CREB1,RBKS
CREB1,RBM18
CREB1,RBMS2
CREB1,RBP5
CREB1,RCE1
CREB1,RELB
CREB1,RNF44
CREB1,RNF7
CREB1,RUNDC3A
CREB1,RPL41
CREB1,RPS29
CREB1,RUSC1
CREB1,SCAMP5
CREB1,SCG2
CREB1,SDHB
CREB1,SEMA4C
CREB1,SENP2
CREB1,SLC18A2
CREB1,SLC25A25
CREB1,SLC35F5
CREB1,SLC38A1
CREB1,SNAP25
CREB1,SIK1
CREB1,SPAG9
CREB1,SPATA7
CREB1,SREBF2
CREB1,SST
CREB1,ST13
CREB1,STAT3
CREB1,SULT4A1
CREB1,SUV39H2
CREB1,SYNGR3
CREB1,SYT11
CREB1,TEX14
CREB1,TGIF2
CREB1,TH
CREB1,THADA
CREB1,THOC1
CREB1,TSPAN7
CREB1,TNFAIP1
CREB1,TP53INP2
CREB1,TRAF4
CREB1,TRAP1
CREB1,UBE2H
CREB1,UCN
CREB1,UMPS
CREB1,FAM174A
CREB1,USP48
CREB1,VGF
CREB1,WFDC3
CREB1,CCN4
CREB1,WNT10A
CREB1,XRN2
CREB1,YTHDC2
CREB1,YWHAZ
CREB1,ZBTB11
CREB1,ZFYVE27
CREB1,ZIM2
CREB1,ZMYND15
CREB1,ZNF184
CREB1,ZBTB21
CREB1,ZNF335
CREB1,ZNF367
CREB1,ZNF576
CREB1,ZNF593
CREB1,AGPAT1
CREB1,AHR
CREB1,ANAPC2
CREB1,ARMCX1
CREB1,ARTN
CREB1,MAGI1
CREB1,BIN3
CREB1,BRMS1
CREB1,TIGAR
CREB1,ODR4
CREB1,SUCO
CREB1,TSHZ2
CREB1,PCIF1
CREB1,LYPD3
CREB1,C5orf15
CREB1,ILRUN
CREB1,CENPQ
CREB1,LMBRD1
CREB1,ERLIN2
CREB1,AOPEP
CREB1,CBLL1
CREB1,CCNI
CREB1,CDC14B
CREB1,PHF20L1
CREB1,CHD2
CREB1,CNOT7
CREB1,MED27
CREB1,CTNND2
CREB1,DAD1
CREB1,DHX40
CREB1,DLST
CREB1,EIF5A
CREB1,ERC1
CREB1,ERF
CREB1,EVX1
CREB1,FBXL19
CREB1,FBXL2
CREB1,FDXR
CREB1,UBA6
CREB1,ZGRF1
CREB1,NOL10
CREB1,CORO6
CREB1,QRICH1
CREB1,ARMCX6
CREB1,VPS37A
CREB1,SAMD12
CREB1,TMEM86A
CREB1,GRM3
CREB1,GSC
CREB1,GTF2A1
CREB1,GTF2H1
CREB1,HDAC6
CREB1,HTN1
CREB1,HMGB1
CREB1,HNRNPAB
CREB1,HPS5
CREB1,FMC1
CREB1,IL1RAPL1
CREB1,ISCU
CREB1,IVNS1ABP
CREB1,JADE1
CREB1,KDELR1
CREB1,KDELR2
CREB1,KDELR3
CREB1,KLHL12
CREB1,KPTN
CREB1,LHX5
CREB1,ZC3H18
CREB1,LAYN
CREB1,GTPBP10
CREB1,SHKBP1
CREB1,MDN1
CREB1,TLNRD1
CREB1,KXD1
CREB1,BOD1L2
CREB1,MMUT
CREB1,GLYR1
CREB1,NAPA
CREB1,ICE2
CREB1,NINJ1
CREB1,NKX6-1
CREB1,NR4A3
CREB1,CEP83
CREB1,OSBP
CREB1,PAK3
CREB1,PCSK2
CREB1,PELP1
CREB1,JADE2
CREB1,PHF8
CREB1,POLB
CREB1,POLDIP3
CREB1,PRICKLE2
CREB1,PRKCH
CREB1,PTPN23
CREB1,RAB2A
CREB1,DENND5A
CREB1,RBBP8
CREB1,RFC1
CREB1,TRMT10A
CREB1,RING1
CREB1,RNF166
CREB1,RNF40
CREB1,RNF5
CREB1,SART3
CREB1,SCFD2
CREB1,SEC24D
CREB1,SEMA3B
CREB1,SRSF1
CREB1,SHANK2
CREB1,SLC20A2
CREB1,SLC30A5
CREB1,SLC35E1
CREB1,SMARCA5
CREB1,SMARCAD1
CREB1,SMARCD1
CREB1,SMS
CREB1,SNAPC5
CREB1,SNRPG
CREB1,SOX12
CREB1,SPRED2
CREB1,SRP54
CREB1,SSBP3
CREB1,SSNA1
CREB1,SSTR3
CREB1,TAGLN2
CREB1,PTGES3
CREB1,TPR
CREB1,TPT1
CREB1,TRAPPC1
CREB1,UBE2D3
